#{"t_start": 1764011848.044468, "env_id": "CarRacing-v3"}
r,l,t
653.424658,1000,9247.518021
282.022472,1000,9258.081008
639.130435,1000,9275.138468
419.84127,1000,9285.902342
45.454545,1000,9303.970365
642.574257,1000,9315.251802
297.683398,1000,9331.266282
70.491803,1000,9341.893941
438.983051,1000,9358.278566
886.013986,1000,9368.777356
282.550336,1000,9385.047666
683.216783,1000,9395.470504
716.129032,1000,9412.157923
77.358491,1000,9422.442777
337.037037,1000,9438.572097
346.428571,1000,9449.991195
677.385159,1000,9515.033563
457.491289,1000,9525.511357
472.368421,1000,9541.871567
200.911854,1000,9552.567799
660.655738,1000,9570.793919
669.230769,1000,9581.945105
260.26936,1000,9599.104894
330.463576,1000,9609.610007
75.895765,1000,9620.211794
467.567568,1000,9636.822128
230.033003,1000,9647.175152
882.876712,1000,9663.459753
453.956835,1000,9673.950883
218.021201,1000,9690.874117
265.930599,1000,9701.425876
116.524217,1000,9718.31198
135.649547,1000,9728.936266
556.565657,1000,9745.594724
286.986301,1000,9756.070728
184.789644,1000,9772.84183
511.111111,1000,9783.754329
63.987138,1000,9800.543484
216.901408,1000,9811.345332
80.851064,1000,9827.491397
303.333333,1000,9837.982184
533.116883,1000,9854.262595
251.648352,1000,9865.004154
351.827243,1000,9881.656391
748.148148,1000,9891.867938
254.83871,1000,9908.363209
298.601399,1000,9918.813835
69.811321,1000,9935.287208
94.805195,1000,9945.774303
141.992883,1000,9962.311111
223.420074,1000,9972.493114
406.896552,1000,9989.229119
447.770701,1000,9999.901724
207.692308,1000,10016.345015
251.010101,1000,10027.348539
296.610169,1000,10044.296885
311.347518,1000,10054.728051
530.498534,1000,10071.241887
178.985507,1000,10081.748031
495.317726,1000,10098.228744
346.808511,1000,10109.351097
401.779359,1000,10125.828772
656.457565,1000,10136.27402
411.705686,1000,10152.992866
131.25,1000,10163.653041
641.007194,1000,10180.126886
888.0,1000,10190.451356
696.178344,1000,10201.112931
360.966543,1000,10217.422997
469.852941,1000,10228.125214
93.548387,1000,10244.751394
516.393443,1000,10255.377978
639.68254,1000,10271.855465
847.761194,1000,10282.340981
862.121212,1000,10298.538705
816.981132,1000,10308.972399
423.026316,1000,10325.463523
585.245902,1000,10336.10221
412.987013,1000,10352.911391
12.462006,1000,10363.3076
540.410959,1000,10379.712836
355.128205,1000,10390.240415
465.055762,1000,10406.868655
694.964029,1000,10417.224078
477.075099,1000,10433.322246
754.72973,1000,10443.719073
28.834356,1000,10460.125342
590.647482,1000,10470.93483
693.220339,1000,10487.377179
185.714286,1000,10497.710363
336.440678,1000,10513.681442
798.039216,1000,10524.523376
691.946309,1000,10540.883001
773.720137,1000,10551.310843
377.941176,1000,10567.830524
850.35461,1000,10578.155096
637.642586,1000,10594.642662
865.870307,1000,10605.184817
651.724138,1000,10621.557778
345.512821,1000,10632.522706
225.0,1000,10649.508563
221.875,1000,10659.956684
152.659574,1000,10676.758946
276.271186,1000,10687.265076
84.66899,1000,10703.683173
178.745645,1000,10713.919338
91.082803,1000,10730.174389
146.428571,1000,10740.39969
336.426117,1000,10756.783094
462.068966,1000,10767.567713
457.003257,1000,10778.253481
739.464883,1000,10794.602816
751.590106,1000,10805.108251
331.226766,1000,10821.455859
319.871795,1000,10832.907044
800.355872,1000,10849.488097
664.890282,1000,10860.150104
812.408759,1000,10876.667621
675.0,1000,10887.556392
355.696203,1000,10904.121716
853.068592,1000,10914.441452
761.952862,1000,10931.066538
856.6787,1000,10941.429837
477.946768,1000,10958.177677
418.032787,1000,10968.759168
896.363636,1000,10985.213306
361.538462,1000,10995.505948
368.164794,1000,11012.224166
50.565799,763,11019.950282
98.717949,1000,11036.212565
84.027778,1000,11046.390049
353.333333,1000,11063.08184
695.275591,1000,11073.461382
393.670886,1000,11090.059373
708.080808,1000,11100.580259
726.923077,1000,11117.148451
631.788079,1000,11127.983549
807.749077,1000,11144.187179
824.81203,1000,11154.522715
205.841924,1000,11170.75896
844.785276,1000,11181.496023
711.447811,1000,11198.199374
737.837838,1000,11208.501012
890.066225,1000,11219.018811
907.6,924,11234.512935
783.895131,1000,11245.266158
896.563574,1000,11261.619654
911.2,888,11270.685439
782.539683,1000,11287.354534
580.0,1000,11297.964304
797.959184,1000,11314.639814
875.778547,1000,11325.186451
905.6,944,11341.034065
920.2,798,11349.42315
873.421927,1000,11366.803671
746.645367,1000,11377.395273
231.230284,1000,11393.642435
824.528302,1000,11403.934686
908.0,920,11419.547922
900.5,995,11430.231875
900.3,997,11446.720613
661.904762,1000,11457.345983
641.007194,1000,11467.773068
562.460568,1000,11484.731907
574.825175,1000,11495.251201
644.604317,1000,11511.712918
670.833333,1000,11522.168333
557.627119,1000,11538.54685
566.666667,1000,11549.167763
449.488055,1000,11565.53286
532.107023,1000,11576.195132
429.032258,1000,11592.973699
530.573248,1000,11603.85603
524.161074,1000,11620.280811
560.777385,1000,11630.721531
237.950139,1000,11647.541027
889.010989,1000,11657.812025
710.0,1000,11674.494048
670.76412,1000,11685.106396
653.333333,1000,11701.581498
788.888889,1000,11712.009737
881.949458,1000,11728.741609
848.717949,1000,11739.078241
657.48503,1000,11755.620578
770.967742,1000,11766.026141
716.901408,1000,11782.384625
463.573883,1000,11792.749344
110.0,1000,11809.050839
836.170213,1000,11819.483452
816.363636,1000,11835.926539
558.783784,1000,11846.736188
749.65035,1000,11863.175227
820.289855,1000,11873.586417
385.507246,1000,11890.092197
852.898551,1000,11900.457863
468.047337,1000,11917.393279
642.160279,1000,11927.956627
811.877395,1000,11944.441864
774.125874,1000,11954.675019
723.529412,1000,11971.725936
613.826367,1000,11982.416417
686.259542,1000,11999.183108
827.631579,1000,12009.638566
827.152318,1000,12026.849482
761.111111,1000,12037.448898
819.191919,1000,12047.924941
775.862069,1000,12064.435934
672.575251,1000,12074.962868
820.863309,1000,12091.524235
639.413681,1000,12102.063192
755.263158,1000,12118.635238
828.79257,1000,12129.400951
823.954373,1000,12145.944045
854.861111,1000,12156.365707
421.89781,1000,12172.765245
829.765886,1000,12183.279548
878.33935,1000,12199.729905
854.385965,1000,12210.489517
208.474576,1000,12226.614424
670.491803,1000,12237.112726
838.983051,1000,12253.506353
871.530249,1000,12264.260577
885.507246,1000,12280.641457
880.19802,1000,12291.051968
